CIN,LLPIN,Entity Status,Date of Incorporation,Paid-up Capital,PAN,GSTIN,GSTR Variance %,ITC Availed,Audited Net Income,Inventory,Accounts Receivable,EBITDA,Long-Term Debt,Cheque Bounces,NACH Returns,OD Utilization,NACH Obligation %,CMR Rank,Asset Classification,Wilful Defaulter,Capacity Utilization,Machinery Status,Promoter Experience,Contingent Liabilities,Auditor Qualifications,Shareholding Pledge,Risk Premium,Target_Decision
L33704MH2002PTC923958,AAA-5058,Active,1997-12-22,71816427,DADZX4684L,27HKFJP6942Q1Z5,2.37,12926956.86,41062289,4849834,239563989,16779207,38227766,0,0,59%,12%,2,Standard,False,86%,Dilapidated,37,2201165,Clean,42%,1.55%,1
L92056MH1999PTC614680,AAA-7264,Active,1998-12-17,59249671,HYMUQ4888N,27HKIOQ3041E1Z5,8.05,10664940.78,43484856,4852544,46938558,18818726,34219464,1,1,52%,66%,2,Standard,False,53%,Legacy,39,3648378,Clean,28%,4.24%,1
L38038GJ2019PTC020337,AAA-4891,Active,2002-05-19,50466414,MXFKW4764R,27BEFBF6923F1Z5,11.68,9083954.52,5541976,1278498,93439795,10841654,9021850,0,1,46%,71%,2,Standard,False,85%,Legacy,38,4175363,Clean,38%,1.8%,1
U75481KA2020PTC778358,AAA-4294,Active,2002-05-15,41365184,AXANI7877F,27MQBED1249W1Z5,2.33,7445733.12,10432573,3345893,250230117,9760506,27139556,6,2,96%,58%,9,SMA-2,True,87%,Legacy,24,70330,Adverse,0%,4.26%,0
U29327MH2008PTC922275,AAA-1155,Active,1998-06-26,16097216,PGBWJ9951Z,27IUSXA2115K1Z5,2.88,2897498.88,2274598,4134768,238496222,632940,82259171,2,1,86%,22%,6,SMA-1,False,88%,Modern,11,2159254,Qualified,34%,1.23%,2
U72862TN1990PTC433128,AAA-4179,Active,2008-08-31,59255398,WRQRR4013F,27JLDMD1095G1Z5,2.99,10665971.64,3383172,4134045,124528909,1660627,59659717,1,3,79%,69%,4,SMA-1,False,84%,Dilapidated,16,8728915,Qualified,24%,0.54%,2
L45514MH1996PTC940171,AAA-2228,Active,1997-12-28,34265756,RESRP9205K,27OROFP7225R1Z5,4.89,6167836.08,28049972,4456651,131486716,11080116,65375724,1,0,45%,49%,1,Standard,False,86%,Modern,10,536763,Clean,15%,2.78%,1
U81225KA2016PTC334979,AAA-8489,Active,1996-08-26,37399313,EYART6161D,27AIVMA9109T1Z5,3.23,6731876.34,45050578,4618209,368505256,14691318,7789442,0,1,26%,12%,2,Standard,False,40%,Dilapidated,9,3182133,Clean,34%,5.22%,1
L40022MH1999PTC015331,AAA-9605,Active,2003-10-11,29073849,NKUOD5354L,27HDQZS3937V1Z5,9.73,5233292.82,4536026,4306965,35820687,1852745,53105921,5,5,110%,40%,7,NPA,False,43%,Modern,15,2335717,Adverse,19%,0.64%,0
U18347MH2015PTC892722,AAA-7418,Active,2025-06-13,1837313,LKRFN5201V,27QNGHN0144Z1Z5,8.92,330716.34,11684456,671079,262397816,12859630,11277158,0,1,42%,75%,3,Standard,False,49%,Legacy,38,153627,Clean,12%,1.8%,1
